bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
223,227,0,0,1,223.0,0.0,319,255,32,3,106.33333333333333,105.12320813640007,223,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
223,227,0,0,1,223.0,0.0,319,255,32,3,106.33333333333333,105.12320813640007,223,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
798,0,0,0,1,798.0,0.0,846,141,141,6,141.0,0.0,798,0,SSDP,0,,,0,0,0,0,,,0,
206,719,0,0,1,206.0,0.0,214,214,0,1,214.0,0.0,206,0,SNMP,1,719.0,0.0,727,727,0,1,727.0,0.0,719,
575,0,0,0,1,575.0,0.0,655,48,48,10,65.5,35.96456589478038,575,0,MDNS,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
696,0,0,0,1,696.0,0.0,728,182,182,4,182.0,0.0,696,0,SSDP,0,,,0,0,0,0,,,0,
