bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
37,65,0,0,1,37.0,0.0,45,45,0,1,45.0,0.0,37,0,DNS,1,65.0,0.0,73,73,0,1,73.0,0.0,65,
189,6008,494,1296,3,228.0,203.14690907485317,844,209,20,8,105.5,126.75764276760593,684,1,SSL,3,2445.0,2571.806498682719,7555,20,1430,11,686.8181818181819,628.2502133533362,7335,
34,50,0,0,1,34.0,0.0,42,42,0,1,42.0,0.0,34,0,DNS,1,50.0,0.0,58,58,0,1,58.0,0.0,50,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
517,156,3046,69,6,636.0,1090.5947918452573,4196,537,71,19,220.8421052631579,420.29554302931257,3816,1,SSL,5,491.8,826.0940382305154,2799,20,176,17,164.64705882352942,328.0527111835519,2459,GMail
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
477,28899,11,0,2,244.0,233.0,928,497,20,22,42.18181818181818,99.25066354879465,488,1,HTTP,1,28899.0,0.0,29711,20,1480,34,873.8529411764706,708.2924841332037,28899,Google
26,58,0,0,1,26.0,0.0,34,34,0,1,34.0,0.0,26,0,DNS,1,58.0,0.0,66,66,0,1,66.0,0.0,58,
215,4684,588,90906,9,475.8888888888889,258.29846837608636,5243,235,20,48,109.22916666666667,183.9352512415865,4283,1,SSL,9,14713.666666666666,29094.75638896695,134643,1480,1480,111,1213.0,527.7536109529464,132423,
205,181,213,181,4,211.75,3.960744879438715,987,225,233,7,141.0,104.83183812999887,847,1,HTTP,4,181.0,0.0,884,20,201,8,110.5,90.5,724,
195,3182,623,339,6,170.83333333333334,209.22668461636425,1345,215,20,16,84.0625,90.38768496731178,1025,1,SSL,6,727.6666666666666,1120.2819089655761,4646,20,1430,14,331.85714285714283,476.9346851273778,4366,Facebook
2508,3901,2485,3916,2,2496.5,11.5,5193,1480,1068,10,519.3,591.1524422684896,4993,1,HTTP,2,3908.5,7.5,8077,20,224,13,621.3076923076923,627.8542683206994,7817,
0,0,0,0,0,,,20,20,0,1,20.0,0.0,0,1,HTTP,0,,,40,20,20,2,20.0,0.0,0,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
225,5242,496,672,3,240.66666666666666,202.38631925656986,882,245,20,8,110.25,131.45412697971867,722,1,SSL,3,1981.6666666666667,2320.208371868546,6177,20,1480,11,561.5454545454545,614.2935874402792,5945,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
42,110,0,0,1,42.0,0.0,50,50,0,1,50.0,0.0,42,0,DNS,1,110.0,0.0,118,118,0,1,118.0,0.0,110,
207,1179,171,282,2,189.0,18.0,458,227,154,4,114.5,81.3218912716619,378,1,SSL,2,730.5,448.5,1601,20,1199,7,228.71428571428572,407.8923927724475,1461,
189,6007,472,28725,5,311.0,188.01382927859322,1995,209,20,22,90.68181818181819,145.1094841721044,1555,1,SSL,5,8292.0,10533.06918234187,42240,20,1430,39,1083.076923076923,564.7979164183705,41460,
6576,0,0,0,1,6576.0,0.0,6960,145,145,48,145.0,0.0,6576,0,SSDP,0,,,0,0,0,0,,,0,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
42,103,0,0,1,42.0,0.0,50,50,0,1,50.0,0.0,42,0,DNS,1,103.0,0.0,111,111,0,1,111.0,0.0,103,Google
51,161,0,0,1,51.0,0.0,59,59,0,1,59.0,0.0,51,0,DNS,1,161.0,0.0,169,169,0,1,169.0,0.0,161,Microsoft
55,0,0,0,1,55.0,0.0,95,75,20,2,47.5,27.5,55,1,SSL,0,,,60,20,20,3,20.0,0.0,0,Google
0,0,0,0,0,,,20,20,0,1,20.0,0.0,0,1,SSL,0,,,0,0,0,0,,,0,Google
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
37,157,0,0,1,37.0,0.0,45,45,0,1,45.0,0.0,37,0,DNS,1,157.0,0.0,165,165,0,1,165.0,0.0,157,Google
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
517,141,419,414,11,378.6363636363636,123.68748942929643,4565,537,71,20,228.25,204.89555266037377,4165,1,SSL,11,371.1818181818182,137.13484948089877,4511,20,161,19,237.42105263157896,208.35327180674696,4083,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
33,49,0,0,1,33.0,0.0,41,41,0,1,41.0,0.0,33,0,DNS,1,49.0,0.0,57,57,0,1,57.0,0.0,49,
37,89,0,0,1,37.0,0.0,45,45,0,1,45.0,0.0,37,0,DNS,1,89.0,0.0,97,97,0,1,97.0,0.0,89,
224,5239,487,90712,3,239.0,196.65367188706816,1237,244,20,26,47.57692307692308,82.41693864217433,717,1,SSL,3,31994.0,41574.298623067596,97574,20,1480,76,1283.8684210526317,483.5761612606769,95982,
44,121,0,0,1,44.0,0.0,52,52,0,1,52.0,0.0,44,0,DNS,1,121.0,0.0,129,129,0,1,129.0,0.0,121,
45,59,0,0,1,45.0,0.0,53,53,0,1,53.0,0.0,45,0,DNS,1,59.0,0.0,67,67,0,1,67.0,0.0,59,
189,6007,126,258,4,168.0,127.90426107053666,832,209,20,8,104.0,123.43318030416295,672,1,SSL,4,1965.25,2405.824637728195,8101,20,1430,12,675.0833333333334,646.6019458591885,7861,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
29,94,0,0,1,29.0,0.0,37,37,0,1,37.0,0.0,29,0,DNS,1,94.0,0.0,102,102,0,1,102.0,0.0,94,
253,2965,987,1160,7,1636.7142857142858,1676.8904653116317,11937,273,20,24,497.375,607.7170265633505,11457,1,SSL,7,1229.7142857142858,958.6901352940919,9120,20,1480,22,414.54545454545456,525.4365048806154,8608,
464,788,464,788,3,313.0,213.54624791833734,1239,484,484,15,82.6,157.44239158075143,939,1,HTTP,2,788.0,0.0,2048,20,808,17,120.47058823529412,251.0997265318301,1576,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
42,105,0,0,1,42.0,0.0,50,50,0,1,50.0,0.0,42,0,DNS,1,105.0,0.0,113,113,0,1,113.0,0.0,105,
33,49,0,0,1,33.0,0.0,41,41,0,1,41.0,0.0,33,0,DNS,1,49.0,0.0,57,57,0,1,57.0,0.0,49,
183,0,0,0,1,183.0,0.0,191,191,0,1,191.0,0.0,183,0,NetBIOS,0,,,0,0,0,0,,,0,
29,45,0,0,1,29.0,0.0,37,37,0,1,37.0,0.0,29,0,DNS,1,45.0,0.0,53,53,0,1,53.0,0.0,45,
33,49,0,0,1,33.0,0.0,41,41,0,1,41.0,0.0,33,0,DNS,1,49.0,0.0,57,57,0,1,57.0,0.0,49,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
90,0,0,0,1,90.0,0.0,106,53,53,2,53.0,0.0,90,0,MDNS,0,,,0,0,0,0,,,0,
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
51,217,0,0,1,51.0,0.0,59,59,0,1,59.0,0.0,51,0,DNS,1,217.0,0.0,225,225,0,1,225.0,0.0,217,Microsoft
